High Voltage SID Collection,https://www.hvsc.c64.org/
SID datasheet,https://web.archive.org/web/20221029042239if_/http://archive.6502.org/datasheets/mos_6581_sid.pdf
Ghidra,https://github.com/NationalSecurityAgency/ghidra
vessel,https://github.com/anarkiwi/vessel
vap,https://github.com/anarkiwi/vap
ChiptuneSAK,https://github.com/c64cryptoboy/ChiptuneSAK
Collection: AI and musical creativity,https://transactions.ismir.net/collections/ai-and-musical-creativity
Attention is all you need,https://proceedings.neurips.cc/paper_files/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf
Hugging Face Transformers,https://github.com/huggingface/transformers
Language Modeling with nn.Transformer and torchtext,https://pytorch.org/tutorials/beginner/transformer_tutorial.html
defMON,https:///defmon.vandervecken.com
C64 programmers reference guide,https://archive.org/details/c64-programmer-ref
No More Secrets V0.98,https://csdb.dk/release/?id=238036
libsidplayfp,https://github.com/libsidplayfp
VICE,https://vice-emu.sourceforge.io/
LLVM MOS,https://llvm-mos.org/wiki/Welcome
Demoparty.net,https://www.demoparty.net/
Elektron SID Station,https://www.elektron.se/ca/download-support-sidstation
Magenta: Make Music And Art Using Machine Learning,https://magenta.tensorflow.org/
MIDI-DDSP: Detailed Control of Musical Performance via Hierarchical Modeling,https://arxiv.org/abs/2112.09312
MusicLM: Generating Music From Text,https://arxiv.org/abs/2301.11325
Code Generation Using Machine Learning: A Systematic Review,https://ieeexplore.ieee.org/document/9849664
A Hierarchical Latent Vector Model for Learning Long-Term Structure in Music,https://arxiv.org/pdf/1803.05428
Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders,https://research.google/pubs/neural-audio-synthesis-of-musical-notes-with-wavenet-autoencoders/
A Mind Is Born,https://linusakesson.net/scene/a-mind-is-born/
Audio representations for deep learning in sound synthesis: A review,https://arxiv.org/abs/2201.02490
A review of deep learning applications in human genomics using next-generation sequencing data,https://humgenomics.biomedcentral.com/articles/10.1186/s40246-022-00396-x
A Survey of Audio Classification Using Deep Learning,https://ieeexplore.ieee.org/document/10258355
Code Authorship Attribution using content-based and non-content-based features,https://ieeexplore.ieee.org/document/9569061
JC64dis,https://iceteam.itch.io/jc64dis
Large Scale Radio Frequency Signal Classification,https://arxiv.org/abs/2207.09918
TensorFlow Lite for Commodore 64s,https://github.com/nickbild/tflite_c64
Wireless Fingerprinting via Deep Learning: The Impact of Confounding Factors,https://arxiv.org/pdf/2002.10791
CREATING THE COMMODORE 64: THE ENGINEERS’ STORY,https://spectrum.ieee.org/commodore-64
Generating Musical Synthesizer Patches with Machine Learning,https://dcsi.cs.dal.ca/wp-content/uploads/2022/07/DCSI-2022_paper_2209.pdf
Automatic Programming of VST Sound Synthesizers using Deep Networks and Other Techniques,https://research.gold.ac.uk/id/eprint/22516/1/myk_lf_vsti_programming.pdf
Chiptune music: An exploration of compositional techniques as found in Sunsoft games for the Nintendo Entertainment System and Famicom from 1988-1992,https://www.academia.edu/15400351/Chiptune_music_An_exploration_of_compositional_techniques_as_found_in_Sunsoft_games_for_the_Nintendo_Entertainment_System_and_Famicom_from_1988_1992
Conserving an Ancient Art of Music: Making SID Tunes Editable,https://www.researchgate.net/publication/221494106_Conserving_an_Ancient_Art_of_Music_Making_SID_Tunes_Editable
THE NES MUSIC DATABASE: A MULTI-INSTRUMENTAL DATASET WITH EXPRESSIVE PERFORMANCE ATTRIBUTES,https://archives.ismir.net/ismir2018/paper/000265.pdf
The challenge of realistic music generation: modelling raw audio at scale,https://proceedings.neurips.cc/paper_files/paper/2018/file/3e441eec3456b703a4fe741005f3981f-Paper.pdf
LakhNES: IMPROVING MULTI-INSTRUMENTAL MUSIC GENERATION WITH CROSS-DOMAIN PRE-TRAINING,https://archives.ismir.net/ismir2019/paper/000083.pdf
